name,version,ecosystem,vendor
helper-string-parser,7.19.4,,The Babel Team
helper-validator-identifier,7.19.1,,The Babel Team
parser,7.21.2,,The Babel Team
types,7.21.2,npm,The Babel Team
colors,1.5.0,npm,DABH
diagnostics,2.0.3,npm,Arnout Kazemier
promisify,1.1.3,npm,Gar
node-pre-gyp,1.0.10,npm,Dane Springmeyer
ansi-regex,5.0.1,npm,Sindre Sorhus
are-we-there-yet,2.0.0,npm,GitHub Inc.
detect-libc,2.0.1,npm,Lovell Fuller
gauge,3.0.2,npm,Rebecca Turner
is-fullwidth-code-point,3.0.0,npm,Sindre Sorhus
make-dir,3.1.0,npm,Sindre Sorhus
semver,6.3.0,npm,
nopt,5.0.0,npm,Isaac Z. Schlueter
npmlog,5.0.1,npm,Isaac Z. Schlueter
readable-stream,3.6.1,npm,
string-width,4.2.3,npm,Sindre Sorhus
strip-ansi,6.0.1,npm,Sindre Sorhus
core-loader,4.26.1,npm,Jesus Seijas
core,4.26.1,npm,Jesus Seijas
evaluator,4.26.1,npm,Jesus Seijas
lang-all,4.26.1,npm,Jesus Seijas
lang-ar,4.26.1,npm,Jesus Seijas
lang-bn,4.26.1,npm,Jesus Seijas
lang-ca,4.26.1,npm,Jesus Seijas
lang-cs,4.26.1,npm,Jesus Seijas
lang-da,4.26.1,npm,Jesus Seijas
lang-de,4.26.1,npm,Jesus Seijas
lang-el,4.26.1,npm,Jesus Seijas
lang-en-min,4.26.1,npm,Jesus Seijas
lang-en,4.26.1,npm,Jesus Seijas
lang-es,4.26.1,npm,Jesus Seijas
lang-eu,4.26.1,npm,Jesus Seijas
lang-fa,4.26.1,npm,Jesus Seijas
lang-fi,4.26.1,npm,Jesus Seijas
lang-fr,4.26.1,npm,Jesus Seijas
lang-ga,4.26.1,npm,Jesus Seijas
lang-gl,4.26.1,npm,Jesus Seijas
lang-hi,4.26.1,npm,Jesus Seijas
lang-hu,4.26.1,npm,Jesus Seijas
lang-hy,4.26.1,npm,Jesus Seijas
lang-id,4.26.1,npm,Jesus Seijas
lang-it,4.26.1,npm,Jesus Seijas
lang-ja,4.26.1,npm,Jesus Seijas
lang-ko,4.26.1,npm,Jesus Seijas
lang-lt,4.26.1,npm,Jesus Seijas
lang-ms,4.26.1,npm,Jesus Seijas
lang-ne,4.26.1,npm,Jesus Seijas
lang-nl,4.26.1,npm,Jesus Seijas
lang-no,4.26.1,npm,Jesus Seijas
lang-pl,4.26.1,npm,Jesus Seijas
lang-pt,4.26.1,npm,Jesus Seijas
lang-ro,4.26.1,npm,Jesus Seijas
lang-ru,4.26.1,npm,Jesus Seijas
lang-sl,4.26.1,npm,Jesus Seijas
lang-sr,4.26.1,npm,Jesus Seijas
lang-sv,4.26.1,npm,Jesus Seijas
lang-ta,4.26.1,npm,Jesus Seijas
lang-th,4.26.1,npm,Jesus Seijas
lang-tl,4.26.1,npm,Jesus Seijas
lang-tr,4.26.1,npm,Jesus Seijas
lang-uk,4.26.1,npm,Jesus Seijas
lang-zh,4.26.1,npm,Jesus Seijas
language-min,4.25.0,npm,Jesus Seijas
language,4.25.0,npm,Jesus Seijas
